method;type;cost_zar;cost_chf
walk;equipment;10718.45068;511.937877
walk;preparation;542.6;25.91582398
walk;fieldwork;7080.210665;338.1672755
walk;data_analysis;1031.4826;49.26598139
cam;equipment;137157.63;6550.965655
cam;preparation;908.5837;43.39604725
cam;fieldwork;3832.284741;183.0387881
cam;data_analysis;2129.705;101.7196091
